Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
10 December01:47:35,Space Shuttle Discovery,,United States,Kennedy Space Center LC-39B,United Space Alliance,"STS-116
Spacehab LSM
ITS P5 Truss
ANDE-MAA
ANDE-FACL
RAFT1
MARScom (NMARS)
MEPSI-2","NASA
NASA
NASA
US Naval Academy
US Naval Academy
US Naval Academy
US Naval Academy
DARPA","Low Earth (ISS)
Low Earth (STS)
Low Earth (ISS)
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","ISS assembly
Logistics
ISS component
Technology
Technology
Calibration
Calibration
Technology","22 December22:32
Successful
In orbit
9 February 2007
9 February 2007
In orbit
In orbit
8 March 2007","
Crewed orbital flight with 7 astronauts, including the first Swedish space traveller; ISS crew exchange.ANDE-MAA failed to deploy after becoming stuck in launch canister, but still transmitted data; RAFT1, MARScom, and MEPSI-2 were cubesats.
"
11 December23:28:43,Proton-M/Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,MEASAT-3,MEASAT,Geosynchronous,Communications,In orbit,Operational
14 December21:00:00,Delta II 7920-10,,United States,Vandenberg SLC-2W,United Launch Alliance,USA-193,NRO,Low Earth,Radar imagingTechnology(unconfirmed),21 February 200803:29,Spacecraft failure,"
NRO Launch 21, first launch to be conducted by United Launch Alliance. Satellite failed to contract ground, destroyed by SM-3 ASAT on 21 February 2008.
"
16 December12:00:00,Minotaur I,,United States,MARS LP-0B,Orbital Sciences,"TacSat 2
GeneSat","NRL
NASA","Low Earth
Low Earth","Optical imagingTechnology
Biological","5 February 2011
4 August 201020:43","Successful
Successful","
First launch from Mid-Atlantic Regional Spaceport. Little or no imagery returned by TacSat due to political dispute. TacSat lost contact with ground in January 2008.
"
18 December06:32,H-IIA 204,,Japan,Tanegashima LA-Y1,JAXA,Kiku-8 (ETS-VIII),JAXA,Geosynchronous,Technology,In orbit,Successful,"
Maiden flight of H-IIA 204, full spacecraft antenna deployment one day late
"
19 December14:00:19,Kosmos-3M,,Russia,Plesetsk Site 132/1,COSMOS International,SAR-Lupe 1,Bundeswehr,Low Earth,Radar imaging,In orbit,Operational
24 December08:34:44,Soyuz-2.1a/Fregat,,Russia,Plesetsk Site 43/4,VKS,Meridian 1 (11L),VKS,Molniya,Communications,In orbit,Operational
24 December,RSM-56 Bulava (R-30),,Russia,"RFS Dmitriy Donskoy, Beloye More",VMF,,VMF,Suborbital,Missile test,24 December,Launch failure,"
Apogee: 1 kilometre (0.62 mi), first stage malfunction
"
25 December20:18:12,Proton-K/DM-2,,Russia,Baikonur Site 81/24,VKS,"Kosmos 2424 (GLONASS-M)
Kosmos 2425 (GLONASS-M)
Kosmos 2426 (GLONASS-M)","KNITs
KNITs
KNITs","Medium Earth
Medium Earth
Medium Earth","Navigation
Navigation
Navigation","In orbit
In orbit
In orbit","Operational
Operational
Operational"
27 December14:23:38,Soyuz-2.1b/Fregat,,Kazakhstan,Baikonur Site 31/6,Starsem,CoRoT,CNES,Low Earth,Astronomy,In orbit,Operational,"
Maiden flight of Soyuz-2.1b/Fregat
"
Unknown,UGM-133 Trident II (D5),,United States,"Submarine, WTR",US Navy,,US Navy,Suborbital,Missile test,,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
Unknown,UGM-133 Trident II (D5),,United States,"Submarine, WTR",US Navy,,US Navy,Suborbital,Missile test,,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
